policy_id,policy_name,policy_type,policy_start_date,policy_duration_months,policy_budget_crore,country,state,population_million,urbanization_rate,gdp_growth_before,gdp_growth_after,inflation_rate_before,inflation_rate_after,unemployment_rate_before,unemployment_rate_after,poverty_rate_before,poverty_rate_after,health_index_before,health_index_after,education_index_before,education_index_after,overall_impact_score,policy_success_level
32,9,4,651,11,8182.65,0,4,43.32,85.55,5.99,6.11,5.73,6.06,9.67,7.25,24.2,24.19,69.56,80.24,64.11,68.93,32.26,2
33,8,2,1077,58,26333.46,0,1,101.19,42.15,1.61,1.75,3.35,1.42,6.47,6.01,27.34,22.66,51.53,50.22,51.85,57.87,17.05,1
34,9,4,1051,48,12530.71,0,0,44.31,57.14,5.67,6.27,5.65,6.28,6.45,6.92,27.49,24.19,66.52,73.21,74.4,79.2,25.01,2
35,9,4,363,50,16322.06,0,2,119.71,71.22,4.93,6.14,4.33,2.34,8.61,6.6,11.11,4.9,49.54,59.57,68.62,75.43,62.11,3
36,10,1,571,48,43634.84,0,3,23.07,53.26,2.12,3.02,4.76,4.67,8.35,6.28,26.01,18.53,44.56,50.94,68.83,74.49,55.49,0
37,9,4,190,47,36857.52,0,4,97.71,75.73,4.08,4.54,4.12,4.89,6.36,5.81,18.27,17.48,65.23,68.05,46.74,51.81,23.25,2
38,7,2,478,11,36856.02,0,3,93.2,82.0,1.66,2.49,7.95,7.55,5.87,7.23,33.1,31.97,43.41,54.11,55.91,57.13,22.24,2
39,8,2,988,48,22613.21,0,3,13.82,31.88,5.85,6.45,6.4,6.08,6.56,4.4,12.54,14.35,43.49,47.41,74.5,80.34,23.66,2
40,3,3,17,25,24022.27,0,2,109.92,71.79,5.75,6.82,3.5,2.03,6.56,7.29,18.14,16.6,47.37,54.8,53.71,63.63,37.07,2
41,8,2,891,44,39168.29,0,1,32.09,74.07,4.8,6.95,4.19,2.41,7.37,5.79,14.33,10.07,47.27,51.43,58.94,61.47,44.73,0
42,4,0,777,22,37557.55,0,2,55.74,21.89,2.78,2.31,8.0,6.28,5.87,6.45,26.89,19.72,69.15,77.69,46.5,55.13,29.74,2
43,2,3,856,30,6345.25,0,3,109.09,68.5,3.01,4.08,5.72,6.42,7.46,5.98,26.63,25.05,49.97,49.8,67.66,77.28,29.14,2
44,1,0,1022,46,49910.29,0,0,108.1,29.75,5.59,7.8,4.61,3.08,5.14,3.76,27.38,25.33,61.58,65.83,67.43,73.56,50.39,0
45,10,1,577,32,15074.15,0,3,12.68,80.39,5.21,7.55,5.07,6.35,9.46,7.02,29.94,25.35,51.11,54.33,50.57,56.92,61.08,3
46,8,2,435,34,9711.08,0,2,55.12,60.34,2.64,5.09,6.57,5.48,6.12,6.74,20.37,19.05,50.57,58.1,63.13,64.16,34.06,2
47,8,2,740,26,43640.41,0,3,101.91,48.36,5.47,5.87,5.2,4.5,7.17,4.52,22.41,15.38,45.61,57.42,69.22,76.67,57.49,0
48,1,0,1264,34,38638.05,0,1,70.01,40.31,3.72,5.78,5.68,3.8,8.08,9.24,19.4,21.18,46.88,55.13,50.8,53.71,30.56,2
49,7,2,927,26,3733.26,0,1,30.94,33.18,5.7,7.77,6.36,6.52,6.59,4.92,20.39,17.94,52.05,61.34,73.32,80.11,52.87,0
50,3,3,1120,12,14153.72,0,3,94.5,30.46,1.79,2.71,5.15,5.96,5.56,4.39,16.98,18.19,53.36,53.4,50.11,57.39,21.44,2
51,1,0,117,37,33921.02,0,0,84.81,41.5,3.47,5.11,7.79,8.84,9.87,9.48,24.02,17.4,56.31,62.82,70.24,78.95,54.02,0
52,3,3,261,31,22790.07,0,4,34.93,48.23,3.94,6.39,7.49,6.25,5.01,2.56,25.17,22.31,50.93,59.46,73.62,73.38,57.75,0
53,4,0,27,18,38848.4,0,2,110.94,32.88,3.77,5.04,7.99,7.28,5.18,5.22,15.17,16.54,67.43,75.89,51.0,60.98,36.0,2
54,6,4,826,38,34491.31,0,1,13.06,89.31,1.61,3.05,3.93,3.7,4.23,5.53,30.61,29.4,44.38,53.73,68.39,74.66,27.58,2
55,8,2,777,57,42877.04,0,0,58.42,25.83,2.01,2.4,3.14,2.29,5.79,5.76,29.14,30.08,45.52,46.09,56.71,61.66,12.88,1
56,3,3,921,56,11878.09,0,3,85.56,31.49,1.53,1.08,6.08,5.11,8.92,9.83,13.73,14.74,45.5,44.44,66.39,67.25,-12.01,1
57,11,1,1124,46,29502.41,0,3,31.86,52.34,5.08,5.03,5.12,6.44,5.65,5.57,31.66,26.29,66.76,66.32,60.28,60.12,13.82,1
58,1,0,510,9,12856.78,0,3,112.91,20.82,2.71,2.5,3.44,3.9,9.85,10.85,31.9,26.03,46.79,49.37,58.39,63.6,13.17,1
59,4,0,134,30,15646.5,0,1,47.06,63.99,5.17,5.65,3.23,2.37,9.78,10.38,24.02,25.45,56.0,66.79,63.88,68.63,19.61,1
60,2,3,7,33,7667.07,0,0,44.65,41.91,2.84,2.36,6.05,6.28,8.43,6.59,23.7,19.05,47.99,46.49,71.6,76.52,19.89,1
61,2,3,1243,42,47362.0,0,4,3.37,34.2,5.0,7.28,4.82,4.35,8.5,7.34,31.5,27.11,48.14,59.53,66.4,76.16,67.63,3
62,0,4,600,55,10077.52,0,2,10.55,31.29,4.73,4.4,6.76,6.5,9.27,7.5,24.33,16.95,52.8,64.58,66.94,67.77,36.05,2
63,8,2,330,10,38347.26,0,3,36.89,42.76,2.79,4.71,4.68,3.83,9.19,8.71,30.83,24.04,55.1,53.53,71.0,79.43,45.3,0
64,3,3,764,25,34677.37,0,2,5.86,26.6,3.07,4.7,6.83,5.02,6.56,6.15,23.08,22.18,53.75,62.07,50.92,54.67,36.69,2
65,6,4,383,26,44717.78,0,4,46.01,68.63,5.48,6.22,7.01,7.95,5.02,4.1,15.91,10.72,69.72,78.21,67.26,68.13,33.94,2
66,6,4,239,35,10036.89,0,0,64.14,73.04,2.83,3.98,4.77,3.74,7.11,6.91,15.4,14.47,64.76,73.51,68.17,70.91,26.54,2
67,0,4,575,29,6754.56,0,4,70.27,89.49,4.91,7.06,4.58,3.16,5.51,4.56,33.44,30.26,41.17,50.09,46.84,51.95,50.87,0
68,3,3,384,35,27584.21,0,1,63.15,35.77,5.34,6.15,4.51,2.8,6.53,6.43,23.15,19.37,53.16,52.33,68.46,70.52,15.68,1
69,3,3,89,41,37766.35,0,4,14.75,67.53,4.83,6.89,6.42,7.76,4.34,2.87,16.07,17.95,50.99,49.88,72.05,79.18,30.98,2
70,4,0,1138,29,18934.79,0,4,74.15,74.72,3.25,2.77,4.38,3.21,6.34,5.13,19.47,15.5,47.65,49.8,55.23,61.77,17.28,1
71,3,3,137,32,9164.21,0,1,74.93,24.4,1.81,2.21,5.34,4.85,8.73,9.91,18.21,17.9,46.85,53.42,46.67,50.36,11.55,1
72,11,1,81,44,22661.47,0,2,31.92,43.78,5.73,7.91,4.45,5.91,5.96,4.06,10.01,5.11,62.82,73.12,72.99,74.5,57.71,0
73,7,2,127,12,23912.71,0,3,37.67,35.73,4.2,5.58,7.82,8.17,4.01,4.89,16.29,10.82,64.73,72.83,55.07,62.39,41.01,0
74,3,3,579,41,30467.13,0,2,111.25,78.56,4.65,5.64,6.88,8.02,7.61,8.06,34.53,26.87,59.05,66.87,50.38,57.42,46.04,0
75,4,0,848,55,43884.26,0,2,82.62,42.37,3.08,4.32,5.93,7.41,5.17,4.09,17.23,15.11,68.24,77.85,53.65,55.51,42.02,0
76,11,1,427,52,35204.13,0,3,23.1,60.58,2.44,3.97,4.5,3.11,6.79,5.2,28.91,27.91,56.9,64.54,50.58,60.39,53.22,0
77,8,2,135,15,38416.51,0,0,73.52,59.5,4.4,5.66,5.44,5.89,5.86,4.16,11.91,4.87,55.68,62.42,54.57,61.19,53.28,0
78,4,0,469,20,23552.49,0,4,17.84,37.08,4.94,5.41,6.72,6.12,8.49,9.34,29.82,26.04,41.98,52.14,59.8,63.1,22.8,2
79,5,3,621,31,3070.91,0,3,106.89,39.57,3.63,3.24,7.55,8.52,6.47,7.39,19.79,17.24,48.63,48.27,63.61,63.42,-3.57,1
80,2,3,506,35,31732.77,0,1,68.78,36.63,2.07,2.32,5.69,6.16,9.68,10.72,25.76,23.55,46.0,48.85,67.69,75.31,18.6,1
81,3,3,88,14,7953.28,0,3,49.91,41.03,4.8,5.22,4.77,3.1,9.85,8.87,33.52,25.8,57.85,65.31,69.98,75.33,46.16,0
82,6,4,1121,38,7725.64,0,2,86.27,41.13,3.38,3.34,4.54,4.59,8.65,6.93,30.52,31.09,63.92,71.04,63.18,67.72,19.25,1
83,1,0,112,7,43319.37,0,2,74.21,35.6,5.87,6.23,4.92,5.72,7.99,5.45,23.1,20.67,56.68,56.78,59.44,64.41,25.55,2
84,3,3,556,33,42873.08,0,3,9.2,44.78,3.5,4.52,6.61,5.59,7.93,7.61,22.08,23.66,63.01,72.73,50.1,57.42,28.12,2
85,0,4,929,29,2402.53,0,2,74.39,57.02,2.56,3.9,5.24,4.6,6.52,5.39,30.31,26.83,66.4,74.77,65.59,71.89,43.04,0
86,3,3,295,33,49741.46,0,3,22.4,81.32,5.36,7.12,3.24,2.68,4.84,4.25,26.8,26.41,60.44,66.5,51.68,61.2,39.82,2
87,11,1,425,16,14770.83,0,3,90.09,85.67,2.53,4.18,3.68,3.38,5.32,5.15,10.01,9.11,64.87,75.94,71.85,76.39,42.44,0
88,11,1,290,28,12769.96,0,0,95.74,41.47,3.53,4.21,3.99,3.94,9.81,7.24,21.38,20.23,54.88,56.69,63.98,66.55,27.41,2
89,8,2,223,21,5350.52,0,0,25.25,53.13,5.59,8.01,4.35,5.29,9.86,7.78,19.91,16.32,44.69,56.67,54.61,59.25,66.1,3
90,8,2,22,48,25239.66,0,3,64.51,46.17,5.64,6.82,3.54,3.38,8.37,8.87,32.65,28.51,56.26,65.28,50.22,57.54,38.21,2
91,3,3,411,17,46844.61,0,2,73.04,30.92,5.82,6.88,7.48,7.06,8.82,7.43,15.22,16.32,42.52,49.75,67.61,67.72,28.84,2
92,0,4,278,31,17219.26,0,3,55.23,87.5,1.7,2.28,5.09,5.99,9.02,7.88,29.42,27.29,43.42,46.13,52.13,60.54,25.54,2
93,1,0,159,55,40580.01,0,1,43.62,25.5,4.69,5.23,5.31,4.48,7.63,8.53,21.56,22.41,46.56,57.48,49.39,52.22,22.28,2
94,0,4,1021,56,40366.89,0,0,119.69,48.25,3.22,5.6,4.94,6.23,5.12,6.25,32.53,32.65,66.88,72.29,55.92,61.48,27.83,2
95,1,0,973,48,7009.68,0,1,106.62,48.3,3.21,4.78,5.76,5.3,4.25,5.68,12.54,7.22,59.49,61.34,74.0,74.35,18.82,1
96,4,0,1089,59,38840.1,0,2,32.39,71.58,3.82,3.57,5.67,5.04,9.2,8.73,34.38,29.93,59.72,68.57,55.59,60.47,25.92,2
97,2,3,182,44,8787.58,0,1,65.86,54.26,3.02,4.08,4.13,2.16,7.88,9.37,26.82,20.38,49.81,54.57,62.11,71.5,36.16,2
98,2,3,853,34,36319.86,0,0,27.18,80.18,4.11,5.28,6.88,8.26,6.17,5.44,30.94,26.22,50.02,59.91,51.75,60.13,49.45,0
99,3,3,207,21,12884.31,0,2,57.82,61.19,1.66,2.62,5.23,5.76,5.39,5.36,29.69,31.56,61.96,62.99,61.35,68.25,13.41,1
100,10,1,305,60,27519.4,0,1,48.75,46.48,4.15,3.89,6.4,7.76,7.7,5.45,32.33,32.33,45.04,48.76,72.49,80.91,28.22,2
101,4,0,364,42,28041.26,0,0,16.87,50.14,5.85,6.41,5.53,4.97,4.47,3.91,28.25,29.64,55.11,63.41,74.45,78.15,24.71,2
102,9,4,338,10,36713.89,0,4,36.24,26.93,4.11,3.83,4.92,4.94,9.48,10.11,22.15,19.48,58.57,58.59,52.79,58.48,2.11,1
103,0,4,492,34,8254.01,0,1,69.52,78.03,2.04,1.75,7.48,7.7,5.63,5.02,30.5,23.52,61.11,63.11,59.18,64.78,27.98,2
104,10,1,805,25,13178.49,0,3,20.87,26.25,2.58,4.02,3.19,4.18,6.71,7.89,17.2,9.29,52.75,54.26,55.81,62.74,36.56,2
105,11,1,146,21,3619.72,0,4,17.78,22.38,3.47,4.75,4.21,2.91,7.43,5.27,16.22,17.6,65.8,64.56,72.87,75.28,24.99,2
106,11,1,1221,24,13265.94,0,3,42.1,78.84,5.16,5.55,5.9,6.83,4.65,5.97,14.84,14.48,49.05,56.78,57.62,65.39,17.08,1
107,4,0,925,11,34542.78,0,2,60.53,62.86,5.82,5.39,3.75,2.96,4.69,4.27,10.41,5.64,40.75,43.23,67.77,77.32,23.47,2
108,8,2,1110,25,8469.75,0,3,66.0,67.75,4.61,5.06,7.1,6.83,9.41,10.85,23.23,22.24,53.46,56.03,46.25,48.73,10.63,1
109,0,4,714,28,29415.0,0,4,105.66,21.3,5.23,6.92,4.46,2.83,9.39,9.13,22.35,23.35,52.67,53.15,72.92,77.2,22.29,2
110,8,2,707,33,40010.41,0,2,98.53,88.18,2.61,2.58,6.99,7.86,9.82,9.78,22.48,15.49,40.71,51.62,46.94,47.39,28.17,2
111,5,3,769,54,14919.37,0,4,49.6,66.99,4.55,6.55,7.05,5.71,6.47,5.35,26.32,23.33,50.42,56.19,67.93,74.51,43.87,0
112,11,1,214,6,30478.68,0,4,107.7,47.03,5.93,8.13,4.7,5.14,4.02,4.79,26.76,19.81,60.17,63.41,46.67,52.28,39.71,2
113,10,1,530,16,48133.32,0,2,68.43,58.38,1.8,1.73,6.99,5.54,8.16,5.93,17.46,12.06,48.9,47.77,58.79,67.87,33.24,2
114,3,3,942,50,22568.8,0,3,8.72,78.74,2.22,2.17,7.42,7.91,8.19,5.58,26.13,25.71,46.18,50.03,71.3,78.77,26.35,2
115,7,2,163,37,7353.01,0,3,35.86,50.66,1.67,3.67,4.89,4.43,6.69,4.25,12.98,8.43,69.01,77.49,45.06,48.54,54.45,0
116,6,4,715,39,22220.06,0,1,91.74,39.93,4.42,4.49,5.71,5.46,6.91,7.7,15.49,10.42,64.62,69.92,53.46,53.41,17.65,1
117,9,4,598,36,47311.12,0,4,37.6,52.92,1.87,3.21,5.43,4.67,7.11,6.17,30.82,32.77,63.24,65.69,54.52,62.4,22.93,2
118,1,0,831,26,25198.05,0,4,63.16,53.79,4.2,4.27,6.24,4.86,4.7,2.04,28.38,29.94,45.72,56.46,60.37,60.7,26.04,2
119,2,3,988,34,44500.86,0,2,89.63,37.07,4.19,4.47,7.44,5.81,6.24,6.14,22.71,18.8,45.61,54.32,47.89,48.78,25.98,2
120,8,2,584,29,43456.54,0,0,110.74,21.37,3.04,3.98,6.4,5.59,8.55,5.97,18.98,20.55,65.64,72.25,55.5,55.79,31.11,2
121,6,4,681,39,973.28,0,0,57.42,42.04,5.56,5.23,3.5,1.77,4.12,3.08,15.51,17.03,43.26,42.83,63.73,71.58,4.95,1
122,4,0,618,12,13963.88,0,2,70.98,56.7,5.8,6.82,5.4,6.76,8.57,5.68,13.79,9.18,63.1,74.59,67.88,73.12,56.81,0
123,6,4,1033,51,40494.71,0,4,100.34,35.78,1.78,4.21,5.19,6.31,4.46,5.6,25.75,23.86,45.55,48.8,74.93,84.88,42.33,0
124,4,0,412,36,31072.29,0,4,113.05,81.64,2.57,3.86,6.5,7.19,9.97,7.54,29.93,30.03,60.89,64.6,70.68,80.43,45.37,0
125,3,3,429,44,34131.93,0,4,68.14,28.29,2.78,3.68,6.32,6.07,4.69,4.65,32.98,34.97,52.93,55.37,57.38,62.92,16.54,1
126,10,1,376,25,43895.24,0,3,47.0,30.54,5.47,6.89,6.34,7.35,7.08,4.19,32.44,30.16,48.01,47.89,52.74,57.35,40.18,0
127,0,4,386,17,39507.82,0,2,98.43,69.33,5.96,5.77,5.72,4.26,9.84,9.72,23.84,23.6,48.09,49.2,65.83,67.38,-0.93,1
128,7,2,1193,10,32707.04,0,0,58.56,76.01,5.1,7.02,5.75,4.14,8.92,9.94,14.98,14.5,66.19,74.93,66.65,70.69,35.59,2
129,2,3,838,48,584.69,0,3,60.8,69.31,2.04,2.71,6.17,5.36,8.57,7.89,17.6,14.72,55.89,62.95,71.69,81.22,37.52,2
130,10,1,1191,15,2090.84,0,2,31.12,36.1,2.56,3.4,7.51,7.72,8.73,9.18,30.97,25.37,69.01,72.71,64.57,69.26,29.22,2
131,9,4,1055,9,29642.3,0,2,20.9,42.88,4.86,4.63,5.22,6.69,5.51,2.97,19.98,20.78,40.93,39.17,60.49,68.39,19.82,1
132,8,2,123,48,42686.49,0,4,107.75,38.19,4.8,4.65,3.31,2.35,5.01,5.62,11.22,10.01,49.5,48.0,48.96,50.51,-2.44,1
133,8,2,104,41,12226.34,0,2,116.07,80.76,2.52,2.56,6.38,5.42,5.72,6.85,29.0,25.75,66.89,69.62,66.53,68.94,6.67,1
134,10,1,1119,26,37459.71,0,3,54.67,43.07,5.52,6.75,6.02,4.92,7.14,5.61,23.75,17.13,61.85,62.23,66.39,73.3,45.48,0
135,7,2,1090,28,5166.17,0,1,108.42,44.35,3.74,4.61,3.09,3.34,9.6,8.68,31.49,26.85,67.66,71.86,51.06,51.46,28.88,2
136,7,2,417,37,4691.45,0,2,50.94,23.63,3.82,4.49,7.9,7.24,7.98,6.29,29.8,30.38,61.18,69.06,48.15,54.5,37.02,2
137,9,4,164,46,45963.58,0,4,7.07,63.59,3.09,3.53,7.41,8.72,4.33,2.4,10.22,10.61,57.17,58.01,73.72,81.52,27.03,2
138,10,1,140,25,4258.42,0,0,116.46,43.65,5.81,7.38,6.28,4.61,7.76,7.37,29.23,23.03,61.35,72.29,61.77,67.54,55.01,0
139,10,1,1093,31,28914.39,0,4,58.28,20.28,3.8,3.58,4.34,4.42,9.29,9.48,34.43,33.28,44.33,46.79,66.36,73.11,12.73,1
140,4,0,83,18,8991.58,0,2,32.44,89.36,1.97,2.17,4.16,4.17,8.34,8.57,24.66,22.98,65.28,73.04,46.96,54.53,27.15,2
141,3,3,185,13,48201.99,0,1,112.88,54.72,1.86,3.01,3.89,4.21,8.63,7.49,34.01,26.43,63.95,68.41,71.34,73.24,37.86,2
142,7,2,424,14,27074.22,0,1,86.88,22.59,2.37,2.06,5.35,5.04,8.14,6.57,22.5,20.02,49.69,53.0,54.33,64.08,26.92,2
143,0,4,1289,50,37685.7,0,0,28.45,81.96,4.6,5.28,5.54,6.22,9.03,7.37,28.23,23.5,66.16,71.71,60.11,59.61,30.47,2
144,5,3,843,43,42814.99,0,4,82.63,36.68,2.34,2.73,6.71,5.43,4.41,5.21,15.34,11.38,62.85,71.97,54.25,59.2,31.58,2
145,0,4,486,43,15455.35,0,2,108.98,85.59,4.76,5.88,7.49,7.87,6.29,5.7,25.57,19.88,64.94,66.4,74.11,76.75,29.57,2
146,4,0,129,35,30515.79,0,2,8.44,76.12,1.59,1.35,3.17,3.58,9.17,8.36,32.12,27.34,64.87,73.77,60.91,63.61,32.41,2
147,11,1,355,8,21737.76,0,4,2.51,64.63,3.87,4.37,7.49,6.63,9.1,8.69,23.21,18.32,45.81,51.01,68.9,72.81,26.18,2
148,9,4,733,38,19003.61,0,3,55.57,29.41,5.26,7.68,7.25,8.18,8.25,8.49,11.48,6.18,51.87,59.85,50.55,54.79,52.01,0
149,8,2,994,25,25729.5,0,0,62.74,61.94,2.51,4.37,6.79,5.71,9.45,7.69,23.95,23.65,46.55,45.41,57.34,61.91,29.81,2
150,2,3,193,21,41220.87,0,0,74.64,49.24,4.67,5.2,7.41,8.12,5.94,5.59,22.79,21.69,49.91,60.1,69.4,74.84,30.32,2
151,9,4,571,20,26539.44,0,0,87.23,89.08,5.3,7.52,7.45,6.09,5.04,6.45,31.55,30.73,54.48,60.33,63.98,70.6,35.91,2
152,11,1,963,51,46704.36,0,3,107.18,60.51,3.9,4.64,4.88,2.99,9.55,10.45,32.2,25.02,64.38,74.22,53.2,57.25,40.81,0
153,8,2,716,15,12173.49,0,0,118.19,33.11,3.83,5.62,5.43,5.54,6.06,5.36,33.58,32.41,55.31,64.85,72.79,80.92,50.91,0
154,2,3,873,51,12176.5,0,4,99.26,46.02,3.32,4.1,4.98,3.48,7.75,8.72,19.8,13.56,41.33,52.6,51.19,54.07,32.24,2
155,3,3,596,25,40625.82,0,4,18.26,48.84,3.79,5.67,6.05,6.37,5.72,4.73,25.91,21.47,63.26,61.39,65.91,75.0,40.37,0
156,9,4,10,52,23017.17,0,2,86.29,61.67,2.64,2.3,3.79,3.91,4.69,5.42,16.15,13.84,53.58,53.22,54.64,60.63,1.78,1
157,5,3,1269,17,23097.24,0,1,3.46,86.29,3.6,5.53,3.14,3.42,7.06,5.87,17.92,12.51,58.86,62.4,47.52,55.72,52.15,0
158,7,2,1066,25,49612.18,0,0,56.98,31.66,4.09,4.7,5.25,5.07,5.23,4.14,12.6,8.76,49.65,48.69,64.04,70.43,21.25,2
159,7,2,847,31,36431.76,0,3,57.75,40.18,1.58,3.64,5.59,5.23,6.1,7.56,17.85,13.59,61.58,69.15,73.45,81.22,40.9,0
160,7,2,1141,9,21603.49,0,1,93.33,21.46,3.64,3.62,5.47,6.39,4.91,2.9,34.53,26.57,69.32,71.99,59.21,64.86,37.53,2
161,9,4,940,54,14400.84,0,3,112.46,37.54,1.7,2.46,6.38,6.57,6.47,7.79,33.56,35.24,53.66,53.95,74.27,81.23,5.68,1
162,9,4,78,39,10409.12,0,0,11.81,29.32,2.71,5.14,4.11,4.31,8.2,6.51,21.12,18.52,42.85,45.79,69.48,77.3,51.25,0
163,10,1,225,26,21667.26,0,3,3.27,58.23,1.74,3.59,3.61,3.28,7.52,7.02,21.98,20.08,55.0,53.63,48.4,52.88,27.37,2
164,4,0,535,56,44745.23,0,3,10.43,34.67,3.65,5.35,7.29,6.92,7.92,6.88,24.68,18.29,46.12,54.66,72.84,82.25,57.28,0
165,5,3,710,31,21539.93,0,1,32.81,40.17,5.84,6.04,7.71,8.32,8.58,6.29,20.45,19.26,53.54,60.59,53.59,57.63,27.11,2
166,11,1,866,24,19766.09,0,4,26.33,81.75,5.42,6.69,4.91,6.15,7.31,8.35,10.95,9.29,55.23,61.03,45.47,52.46,25.02,2
167,11,1,626,34,551.39,0,2,35.3,57.54,4.49,5.47,7.85,8.47,6.54,5.99,29.87,26.14,65.72,64.87,48.05,53.04,24.55,2
